ID	Day	Empty	Multiple	Dead.Stain..intensity.	Total.Reads	Uniquely Aligned
d0_Col_04_Row_24	0	FALSE	FALSE	66.43	427390	212573
d0_Col_04_Row_25	0	FALSE	FALSE	66.319	106076	52910
d0_Col_04_Row_26	0	FALSE	FALSE	66.321	269253	141793
d0_Col_04_Row_27	0	FALSE	FALSE	66.421	438101	223048
d0_Col_04_Row_28	0	FALSE	FALSE	66.654	502457	251293
d0_Col_04_Row_29	0	FALSE	FALSE	177.002	43538	18863
d0_Col_04_Row_30	0	FALSE	FALSE	211.016	27597	11829
d0_Col_04_Row_31	0	FALSE	FALSE	80.548	50241	22782
d0_Col_04_Row_32	0	FALSE	FALSE	69.688	578914	305121
d0_Col_04_Row_33	0	FALSE	FALSE	66.418	587930	308814
d0_Col_04_Row_34	0	FALSE	FALSE	66.36	521787	259141
d0_Col_04_Row_35	0	FALSE	FALSE	68.005	473838	223507
d0_Col_04_Row_36	0	TRUE	FALSE	66.607	76011	35421
d0_Col_04_Row_37	0	FALSE	FALSE	66.484	618741	318593
d0_Col_04_Row_38	0	FALSE	FALSE	66.483	605985	318194
d0_Col_04_Row_39	0	FALSE	FALSE	66.403	502426	258444
d0_Col_04_Row_40	0	FALSE	FALSE	66.176	429746	214688
d0_Col_05_Row_1	0	FALSE	FALSE	66.29	571546	288391
d0_Col_05_Row_2	0	FALSE	FALSE	66.454	398326	210358
d0_Col_05_Row_3	0	FALSE	FALSE	66.714	494980	255748
d0_Col_05_Row_4	0	FALSE	FALSE	66.245	529270	255786
d0_Col_05_Row_5	0	FALSE	FALSE	66.321	345420	177647
d0_Col_05_Row_6	0	FALSE	FALSE	66.491	221225	109991
d0_Col_05_Row_7	0	FALSE	FALSE	66.333	278495	143481
d0_Col_05_Row_8	0	FALSE	FALSE	84.495	46468	15973
d0_Col_05_Row_9	0	FALSE	FALSE	67.294	498824	248704
d0_Col_05_Row_10	0	FALSE	FALSE	66.675	497277	255185
d0_Col_05_Row_11	0	FALSE	FALSE	66.457	473607	245411
d0_Col_05_Row_12	0	FALSE	FALSE	66.37	659015	349158
d0_Col_05_Row_13	0	FALSE	FALSE	66.724	411765	205845
d0_Col_05_Row_14	0	FALSE	FALSE	66.757	376774	190615
d0_Col_05_Row_15	0	FALSE	FALSE	66.495	515437	270301
d0_Col_05_Row_16	0	FALSE	FALSE	66.666	643135	334237
d0_Col_05_Row_17	0	FALSE	FALSE	66.713	882827	456278
d0_Col_05_Row_18	0	FALSE	FALSE	66.811	334731	165160
d0_Col_05_Row_19	0	FALSE	FALSE	66.072	536609	278721
d0_Col_05_Row_20	0	FALSE	FALSE	66.525	328970	158761
d0_Col_05_Row_21	0	FALSE	FALSE	67.001	629355	322849
d0_Col_05_Row_22	0	FALSE	FALSE	66.052	468167	246995
d0_Col_05_Row_23	0	FALSE	FALSE	66.541	487089	252131
d0_Col_05_Row_24	0	FALSE	FALSE	66.716	474561	227977
d0_Col_05_Row_25	0	FALSE	FALSE	76.565	271161	127033
d0_Col_05_Row_26	0	FALSE	FALSE	66.677	670161	364333
d0_Col_05_Row_27	0	FALSE	FALSE	66.321	340943	165748
d0_Col_05_Row_28	0	FALSE	FALSE	66.21	583981	296696
d0_Col_05_Row_29	0	FALSE	FALSE	68.333	198789	100480
d0_Col_05_Row_30	0	FALSE	FALSE	66.231	578363	301996
d0_Col_05_Row_31	0	FALSE	FALSE	67.31	391032	197136
d0_Col_05_Row_32	0	FALSE	FALSE	71.693	279392	137241
d0_Col_05_Row_33	0	FALSE	FALSE	67.037	791681	414998
d0_Col_05_Row_34	0	FALSE	FALSE	66.83	466223	235613
d0_Col_05_Row_35	0	FALSE	FALSE	65.79	503751	253713
d0_Col_05_Row_36	0	FALSE	FALSE	206.696	92640	42631
d0_Col_05_Row_37	0	FALSE	FALSE	66.59	447467	231319
d0_Col_05_Row_38	0	FALSE	FALSE	68.22	557714	278815
d0_Col_05_Row_39	0	FALSE	FALSE	71.345	71305	25297
d0_Col_05_Row_40	0	FALSE	FALSE	66.422	552662	285938
d0_Col_06_Row_1	0	FALSE	FALSE	66.56	392059	199705
d0_Col_06_Row_2	0	FALSE	FALSE	66.434	454324	234113
d0_Col_06_Row_3	0	FALSE	FALSE	66.533	47289	17994
d0_Col_06_Row_4	0	FALSE	FALSE	66.374	476046	246855
d0_Col_06_Row_5	0	FALSE	FALSE	66.385	263915	139311
d0_Col_06_Row_6	0	FALSE	FALSE	67.37	266930	132308
d0_Col_06_Row_7	0	FALSE	FALSE	66.395	197581	102622
d0_Col_06_Row_8	0	FALSE	FALSE	66.105	393593	204145
d0_Col_06_Row_9	0	FALSE	FALSE	66.569	362576	187108
d0_Col_06_Row_10	0	FALSE	FALSE	66.423	528971	280249
d0_Col_06_Row_11	0	FALSE	FALSE	66.581	498929	258382
d0_Col_06_Row_12	0	FALSE	FALSE	66.251	383485	190511
d0_Col_06_Row_13	0	FALSE	FALSE	66.781	445701	221060
d0_Col_06_Row_14	0	FALSE	FALSE	66.361	413936	207402
d0_Col_06_Row_15	0	FALSE	FALSE	66.486	483262	245014
